Nombre Paterno Hrs Pago
Ramón Rodríguez 18 56.56
Alejandro Bocanegra 44 47.66
Miguel Pimienta 36 96.74
Alejandro Vazquez 39 72.44
Beatriz Aguilar 48 154.29
Juan Aguilar 54 182.74
Melissa Arosemena 18 124.96
José Mondragón 16 138.37
José Mondragón 16 78.92
Juan Castro 45 135.98
Oscar Castro 42 61.56
Juan Maldonado 15 124.46
Josué Salcedo 19 75.84
José Fragoso 43 147.65
Lucía Fragoso 34 77.92
Armando García 16 3.12
Jimena García 47 11.00
José Rentería 19 121.20
Luis León 55 92.90
Alejandra Solís 55 55.69
Corina Sevilla 17 154.28
Iris Lau 35 72.71
María Velázquez 19 41.80
Sarah Estrada 56 101.91
Norma Mondragón 45 74.37
Fernando González 50 31.22
Chloé Burgueño 28 91.49
Marisol Chávez 51 98.87
Sergio Hernández 32 163.11
Jessica Alcorta 43 29.03
Nataly Valdez 25 77.34
Hanssel González 47 84.37
Porfirio Flores 33 34.42
Laura Barragán 16 24.05
Jorge Fernández 41 20.00
Gerardo Frausto 30 60.91
Cesar Leyva 30 73.00
Jorge Pérez 45 81.38
Rodolfo Márquez 24 57.52
Liliana Cruz 31 157.72
Antonio Sáizar 25 49.73
Héctor Moreno 24 43.36
Mario Cervantes 27 109.45
Guillermo Bernal 54 87.55
María Rivera 43 67.62
Miguel Rivera 16 32.28
Abril Cárdenas 22 68.40
Miguel Arce 52 105.51
Sergio Castrejón 18 39.80
Luis Torres 35 58.17
Fernando Padilla 30 17.01
José Morales 40 119.81
Maritza Aguirre 54 127.55
Leslie Silva 17 137.10
Ana Velarde 26 54.75
Kristina Carreño 53 48.74
Andrés Ortega 38 40.01
Luis Chávez 31 22.99
Mario Domínguez 24 59.90
Joaquín Juárez 40 145.55
Marcelino Estrada 53 42.82
Oscar Sauza 52 53.44
Jimena Rocha 30 41.57
Jahel González 55 50.11
Adriana Velásquez 59 134.68
Ana Salazar 18 72.01
Moisés Mayoral 57 125.29
María Godoy 44 45.54
Oswaldo Ochoa 15 129.96
Marcos Mar 56 176.17
Luis Ascencio 35 115.92
Juan Pinto 41 3.66
Guillermo Romero 35 82.54
Guillermo Figueroa 35 74.71
Daniel González 38 79.28
Jorge Nieto 44 15.65
Ignacio Alcantara 20 51.17
Luis Villarreal 17 45.84
José Gutíerrez 30 116.10
Irania Martínez 26 32.59
Abraham Vázquez 23 63.56
Carlos Plancarte 33 81.67
Natalia Zárate 51 55.63
Fernando Barba 60 48.72
Paúl Valdez 22 50.50
Eduardo Bautista 53 27.73
Guillermo Ayon 22 37.62
Ericka García 38 149.12
Lina Cruz 57 119.78
Mary Marcos 46 51.51
Horacio Virissimo 41 56.43
Maximiliano Gutiérrez 58 129.54
Andrea Ortiz 18 86.80
Elizabeth Estrada 59 17.41
Héctor Orta 52 75.53
Oscar López 35 105.36
Daniel Delgado 36 44.14
Ana Castellanos 55 96.56
Daniela Barbosa 51 176.77
Jacqueline Felfoldy 49 49.60
Karl Caraveo 39 159.78
Ana Dumois 52 40.49
Sofía García 34 104.76
Abraham Orozco 19 31.79
Andrea Herrera 19 143.74
Carlos Bueno 28 22.01
Luis Chávez 54 89.79
Edgar Morentin 30 161.56
Ricardo Ochoa 44 37.45
Héctor Baldizón 15 117.95
Adrián Juárez 55 59.84
Rosa Mendoza 54 119.96
Tuareg Venegas 47 161.16
Noel Carrillo 19 22.64
Marco Huerta 35 84.21
Yolanda García 34 87.34
Carlos Aguilar 16 59.40
Ariadna Calderón 28 39.30
Jaime Ruiz 20 21.98
Verónica Rico 33 12.40
Alfredo González 27 97.79
Juan Sauceda 15 52.37
María Brito 42 66.03
Miguel Bauche 54 3.89
Gabriela Mejía 45 38.30
Pablo Moreno 31 22.65
Pablo Lamas 55 77.66
Marilú Gutiérrez 53 36.33
Jorge Lozano 30 154.61
Danaé Rodríguez 52 43.70
José Sánchez 30 175.63
Jorge García 24 97.88
María García 28 158.94
Josué Plascencia 29 21.40
Claudia Villagomez 30 108.34
Oscar Hiraiwa 56 19.13
Artabán Limas 38 23.43
Antonio Madrigal 49 103.79
Marina Novelo 36 96.00
Martha Gomez 38 129.06
Diamond Fuentes 54 29.43
María Melo 21 64.67
José Hernández 44 65.05
Valeriano Yerena 33 90.38
Manuel González 51 177.24
Rafael Reyes 38 16.79
Gilberto Bessoudo 48 154.70
Carlos Gutiérrez 49 70.47
Ximena Ramírez 34 108.99
Brenda Galindo 39 80.20
Alberto Aguilar 21 142.91
Nélida Lim 42 39.51
Jorge Sánchez 20 88.33
Diego González 16 85.25
Monica Aguilar 33 20.00
Aizury Rodríguez 34 76.74
Silvia Soto 44 10.23
Luis González 39 130.28
Montserrat Corona 19 89.59
Victor Alvarez 26 81.66
Naiv López 32 94.28
Gerónimo Luque 42 28.34
William Moya 57 67.50
Alina Ramos 55 52.12
José Fajardo 47 45.41
Carlos Fuentevilla 48 42.90
Jorge Valencia 57 86.97
Abraham Peña 21 39.51
Luis Honegger 33 61.62
Jesús Honegger 31 24.90
Adriana Martínez 31 118.94
Danira Vega 57 6.05
Isalid Vega 17 88.12
Jessica Magaña 19 29.26
Jennifer Ochoa 42 129.63
Miguel Martínez 51 35.25
Edgar Zapién 50 153.88
Melina García 16 1.16
Alfonso Rocha 60 82.90
Ana Carrasco 20 19.93
Yulé Castro 38 103.32
Salvador Morán 26 109.11
Rocío Cárdenas 58 63.19
Oscar Rodríguez 53 48.75
José Amador 24 20.48
Juan Hernández 42 50.72
José Aguirre 19 65.10
Rogelio Díaz 40 2.52
Edgar Varela 15 76.84
Mauricio Murillo 47 48.27
Luis Hernández 52 126.94
Omar Doddoli 58 30.76
Luís Gallegos 47 65.86
Jesús Contreras 55 39.34
Paola Escobar 47 49.92
Paola Tejeda 31 67.96
Yetlanezi Silerio 55 100.13
Alberto Sarabia 51 91.18
Laura Alarcón 36 131.50
Edgar Gaytán 23 65.63
Ashanti Ortega 35 90.32
Montserrat Cavazos 28 67.72
Omar Alarcón 42 36.69
Priscilla González 50 97.71
Mónica Vázquez 57 73.22
Ignacio Vázquez 21 70.79
Gustavo Durán 38 87.10
Daniela Vega 57 40.63
Aldo Martínez 40 67.63
Ricardo Domenzain 46 145.25
Martha Zárate 51 26.56
Diana Orozco 42 23.50
Harold Vargas 41 156.24
José Soaje 37 90.59
Cinthya Revilla 56 21.80
Daniela Zamora 28 71.20
Amelia Flores 42 51.25
Ivan Quirino 31 91.34
Amílcar Gutiérrez 19 48.27
Rodolfo Méndez 59 151.48
Margarita Elkan 58 16.77
Manuel Muciño 38 77.02
Mario Leal 53 27.62
Luis Leal 15 127.60
Francisco Ramírez 28 85.18
Nancy Ferretiz 44 74.04
Luis Avila 18 44.78
Francisco Acero 48 147.16
Adriana Jiménez 16 107.50
Gerson Luna 49 9.93
Estefanía Gaytán 23 63.54
Javier Avila 46 174.37
Pamela González 39 66.87
Fabiola Sifuentes 41 0.32
Sofía Zamora 34 181.62
Mauricio Martínez 41 85.61
Carlos Martínez 36 86.22
Sergio Rangel 43 12.03
Rafael Peña 38 38.03
Gerardo Reyes 40 37.73
Jorge Hernández 47 0.68
Alejandra Rivera 47 15.62
Cristina Herrera 34 119.63
Ricardo Pérez 16 148.02
Karina Mejorada 30 74.93
Victor Hernández 28 129.43
Adriana Pérez 49 20.67
Paola Uribe 43 8.33
Vania Toledo 43 18.40
Moisés Acosta 51 110.24
Victor Silva 45 144.34
Leonardo Jaime 48 53.14
Justino Ortega 54 111.81
Alivsi Lau 18 121.77
Manuel Yerenas 23 76.42
Emmanuel Maya 16 18.04
Andrés Jiménez 27 148.65
Ana Castro 54 55.86
Alvaro Babún 18 74.44
Leoncio Gutiérrez 25 163.35
Nubia Mares 15 110.67
Darius Papadakis 20 91.88
Juan Escalera 20 61.78
Carlos Reyes 18 134.28
Teresa Ángel 48 28.83
Alexandra Mora 50 162.28
Valeria Cortés 57 7.35
Elia Salas 38 34.29
Héctor Carrillo 23 48.01
Isis Pérez 32 166.99
Felipe Reyes 42 58.40
María Aguirre 53 115.13
Fernando García 54 52.91
Yarishdy Martínez 58 53.15
Edgar Hernández 47 174.52
Carmen Charcas 16 27.31
Daniel Rodulfo 38 18.02
Oscar Gurrola 33 34.35
Mirna Castro 23 119.93
Flavio Arellano 60 106.85
Antonio Ortega 29 76.14
Alejandro Salgado 48 36.59
Diego García 28 128.33
Claudia Santoyo 43 4.27
Violeta González 32 131.55
Santiago Nava 37 153.48
Zaira Morales 26 141.11
Griselda Aguirre 57 83.92
Jaime Jaramillo 60 47.46
Edwin Mora 54 25.62
Dulce Adem 27 41.91
Sergio Bisteni 21 98.55
Andres Bernal 43 38.55
David Ortiz 56 42.51
Francisco Madariaga 49 156.68
Ana Maldonado 55 80.23
Alfonso Cuevas 38 93.74
Jennitzzia Salas 42 106.66
David Ramírez 20 58.24
Eduardo Tapia 23 113.60
Benito Díaz 25 71.78
Paulina Pereyra 25 59.38
Alfredo Ramírez 24 80.63
Jorge López 40 89.49
María Arellano 39 54.54
Ricardo García 29 109.14
Mario Hernández 57 93.68
Carlos Pérez 58 153.95
Héctor Jiménez 47 163.14
Ricardo Castro 34 67.13
Ricardo Ramírez 34 38.32
Luis Romo 17 36.49
José Marín 57 160.62
Rafael Hernández 51 147.88
Yessica Salazar 53 62.23
Diego Sánchez 36 16.89
Lilia Andrade 55 92.18
Gabriel Rico 25 16.43
Juan Martínez 37 99.78
Alejandro Tinajero 20 126.26
Andrea Sarmiento 21 68.32
Rosauro Pizarro 51 115.13
Ivette Salgueiro 23 39.18
Mariana González 21 98.90
Diego Navarro 31 53.03
Andrea Herrera 27 27.27
Antonio Torres 28 19.99
Carolina Morales 30 46.66
Enríque Enríquez 42 96.92
Ana Viornery 50 171.11
Lourdes Nava 23 131.18
Gustavo Cámara 54 64.05
