Nombre Completo,Pago
Ramón,Rodríguez,1018.08
Alejandro,Bocanegra,2097.04
Miguel,Pimienta,3482.64
Alejandro,Vazquez,2825.16
Beatriz,Aguilar,7405.92
Juan,Aguilar,9867.960000000001
Melissa,Arosemena,2249.2799999999997
José,Mondragón,2213.92
José,Mondragón,1262.72
Juan,Castro,6119.099999999999
Oscar,Castro,2585.52
Juan,Maldonado,1866.8999999999999
Josué,Salcedo,1440.96
José,Fragoso,6348.95
Lucía,Fragoso,2649.28
Armando,García,49.92
Jimena,García,517.0
José,Rentería,2302.8
Luis,León,5109.5
Alejandra,Solís,3062.95
Corina,Sevilla,2622.76
Iris,Lau,2544.85
María,Velázquez,794.1999999999999
Sarah,Estrada,5706.96
Norma,Mondragón,3346.65
Fernando,González,1561.0
Chloé,Burgueño,2561.72
Marisol,Chávez,5042.37
Sergio,Hernández,5219.52
Jessica,Alcorta,1248.29
Nataly,Valdez,1933.5
Hanssel,González,3965.3900000000003
Porfirio,Flores,1135.8600000000001
Laura,Barragán,384.8
Jorge,Fernández,820.0
Gerardo,Frausto,1827.3
Cesar,Leyva,2190.0
Jorge,Pérez,3662.1
Rodolfo,Márquez,1380.48
Liliana,Cruz,4889.32
Antonio,Sáizar,1243.25
Héctor,Moreno,1040.6399999999999
Mario,Cervantes,2955.15
Guillermo,Bernal,4727.7
María,Rivera,2907.6600000000003
Miguel,Rivera,516.48
Abril,Cárdenas,1504.8000000000002
Miguel,Arce,5486.52
Sergio,Castrejón,716.4
Luis,Torres,2035.95
Fernando,Padilla,510.30000000000007
José,Morales,4792.4
Maritza,Aguirre,6887.7
Leslie,Silva,2330.7
Ana,Velarde,1423.5
Kristina,Carreño,2583.2200000000003
Andrés,Ortega,1520.3799999999999
Luis,Chávez,712.6899999999999
Mario,Domínguez,1437.6
Joaquín,Juárez,5822.0
Marcelino,Estrada,2269.46
Oscar,Sauza,2778.88
Jimena,Rocha,1247.1
Jahel,González,2756.05
Adriana,Velásquez,7946.120000000001
Ana,Salazar,1296.18
Moisés,Mayoral,7141.530000000001
María,Godoy,2003.76
